Sr. No.,Police Station,Year,Head,Date,Place_of_offence,Key_location,Week_no.,Geo_Location,Crowd_Density,Crime_Location_Type
503,Mapusa_Ps,2021,Theft (HBT Night),10-08-2021,"At Shop Styled as “Shree Jewelers” Shop No. 14, Hotel Braganza Mapusa Bardez Goa",Mapusa (MMC),2,"(15.5921, 73.8234)",High,Other (Hotel/Shop)
504,Mapusa_Ps,2021,Theft (HBT Night),21-08-2021,"At H. No. 252/35 Pintowado Verla, Canca, Bardez Goa","Verla,Canca",3,"(15.5892, 73.8073)",Low,House
505,Mapusa_Ps,2021,Theft (HBT Night),03-09-2021,"At Shree Sakhleshwar Temple, Sonarwado, Verla, Canca, Bardez Goa","Verla,Canca",1,"(15.5901, 73.8089)",Medium,Other (Temple)
506,Mapusa_Ps,2021,Theft (HBT Night),10-09-2021,"At House of Mr. Xavier, Bamanwado Cuchelim Mapusa Bardez Goa",Cuchelim,2,"(15.5950, 73.8157)",Low,House
507,Mapusa_Ps,2021,Assault (Hurt) ,15-01-2021,"At H. No. 730, Satapoira Moira Bardez Goa",Moira,3,"(15.5972, 73.8064)",Low,House
508,Mapusa_Ps,2021,Assault (Hurt) ,03-01-2021,At Sainagar Aldona Bardez Goa,Aldona,1,"(15.5804, 73.8769)",Low,House
509,Mapusa_Ps,2021,Assault (Hurt) ,26-01-2021,At Bahrvawado Camurlim Bardez Goa,Camurlim,4,"(15.6160, 73.8953)",Low,House
510,Mapusa_Ps,2021,Assault (Hurt) ,26-01-2021,Guirim Bardez Goa (Guirim),Guirim,4,"(15.5815, 73.8012)",Low,House
511,Mapusa_Ps,2021,Assault (Hurt) ,08-02-2021,At Savnnah Complex Morod Mapusa Bardez Goa,Mapusa (MMC),2,"(15.5937, 73.8235)",Medium,Other (Commercial Complex)
512,Mapusa_Ps,2021,Assault (Hurt) ,07-03-2021,At Saiba Bar and Restaurant Cuchelim Mapusa Bardez Goa,Cuchelim,1,"(15.5950, 73.8157)",Medium,Other (Restaurant)
513,Mapusa_Ps,2021,Assault (Hurt) ,08-03-2021,At Pequen Marg Cansa Thivim Bardez Goa,Thivim,2,"(15.6579, 73.8503)",Low,Road
514,Mapusa_Ps,2021,Assault (Hurt) ,14-03-2021,At Prarthana Bar and Restaurant Karaswada Mapusa Bardez Goa,Mapusa (MMC),2,"(15.5982, 73.8239)",Medium,Other (Restaurant)
515,Mapusa_Ps,2021,Assault (Hurt) ,14-03-2021,"Morod, Guirim Bardez Goa",Guirim (Morod),2,"(15.5798, 73.7997)",Low,House
516,Mapusa_Ps,2021,Assault (Hurt) ,19-03-2021,At Nr Bodgeshwar Temple Bodgini Mapusa Bardez Goa,Mapusa (MMC),3,"(15.5905, 73.8208)",Medium,Other (Temple)
517,Mapusa_Ps,2021,Assault (Hurt) ,19-03-2021,At H. No. 119/9 Nr. Datta Temple Dattawadi Mapusa Bardez Goa,Mapusa (MMC),3,"(15.5978, 73.8260)",Medium,House
518,Mapusa_Ps,2021,Assault (Hurt) ,24-04-2021,"At H. No. 240, Ward No. 1, Xelpem Dhuler Mapusa Bardez Goa",Mapusa (MMC),4,"(15.6004, 73.8296)",Medium,House
519,Mapusa_Ps,2021,Drug Related (NDPS) ,11-01-2021,At Nr Four Road Junction Karaswada Mapusa Bardez Goa,Mapusa (MMC),2,"(15.5982, 73.8239)",High,Road
520,Mapusa_Ps,2021,Drug Related (NDPS) ,11-01-2021,Parra Bardez Goa,Parra,2,"(15.5912, 73.7910)",Low,House
521,Mapusa_Ps,2021,Drug Related (NDPS) ,06-05-2021,"At Undertrial Block, Central Jail, Colvale Bardez Goa",Colvale,1,"(15.6331, 73.8609)",High,Other (Jail)
522,Mapusa_Ps,2021,Drug Related (NDPS) ,17-09-2021,At Nr Village Panchayat Building Moira Bardez Goa,Moira,3,"(15.5991, 73.8052)",Low,Other (Govt. Building)
523,Mapusa_Ps,2021,Drug Related (NDPS) ,30-09-2021,At Nr Primary School Namoshi Guirim Bardez Goa,Guirim (Namoshi),5,"(15.5836, 73.8035)",Medium,Other (School)
524,Mapusa_Ps,2021,Drug Related (NDPS) ,26-10-2021,At Nr Communidade House Parra Bardez Goa,Parra,4,"(15.5912, 73.7910)",Low,Other (Community Building)
525,Mapusa_Ps,2022,Theft (Auto Theft),01-03-2022,"At Nr Idea Showroom, Feira Alto, Mapusa Bardez Goa",Mapusa (MMC),1,"(15.5902, 73.8205)",Medium,Other (Commercial Area)
526,Mapusa_Ps,2022,Theft (Auto Theft),07-01-2022,"Kumya Morod, Guirim Bardez Goa",Guirim (Morod),1,"(15.5798, 73.7997)",Low,House
527,Mapusa_Ps,2022,Theft (Auto Theft),31-03-2022,At Near Corporation Bank Mapusa Bardez Goa,Mapusa (MMC),5,"(15.5921, 73.8234)",High,Other (Bank)
528,Mapusa_Ps,2022,Theft (Auto Theft),04-04-2022,At In Front of Shop Styled as “KAR TECH” Car Accessories Sonarwado Canca Bardez Goa,"Verla,Canca",1,"(15.5901, 73.8089)",Medium,Other (Shop)
529,Mapusa_Ps,2022,Theft (Auto Theft),05-02-2022,At 19.00 hrs. at Nr District Hospital Peddem Mapusa Bardez Goa,Mapusa (MMC),1,"(15.6007, 73.8301)",High,Other (Hospital)
530,Mapusa_Ps,2022,Theft (Auto Theft),30-03-2022,At Nr Entrance Gate Municipal Market Mapusa Bardez Goa,Mapusa (MMC),5,"(15.5900, 73.8200)",High,Other (Market)
531,Mapusa_Ps,2022,Theft (Auto Theft),24-02-2022,At KTC Bus Stand Mapusa Bardez Goa,Mapusa (MMC),4,"(15.5921, 73.8234)",High,Other (Bus Stand)
532,Mapusa_Ps,2022,Theft (Auto Theft),17-05-2022,At Near Saldhana Business Tower Mapusa Bardez Goa,Mapusa (MMC),3,"(15.5930, 73.8250)",High,Other (Commercial Area)
533,Mapusa_Ps,2022,Theft (Auto Theft),03-06-2022,"At Near Sub Yard Gate, KTC Bus Stand, Mapusa Bardez Goa",Mapusa (MMC),1,"(15.5921, 73.8234)",High,Other (Bus Stand)
534,Mapusa_Ps,2022,Theft (Auto Theft),16-06-2022,"At Premises of District Hospital Mapusa, Peddem Bardez Goa",Mapusa (MMC),3,"(15.6007, 73.8301)",High,Other (Hospital)
535,Mapusa_Ps,2022,Theft (Auto Theft),05-05-2022,"At In Front of J.K. Wines, Municipal Market Mapusa Bardez Goa",Mapusa (MMC),2,"(15.5900, 73.8200)",High,Other (Shop/Market)
536,Mapusa_Ps,2022,Theft (Auto Theft),15-06-2022,"At Paliem, Ucassaim Bardez Goa",Ucassaim (Paliem),3,"(15.6238, 73.8271)",Low,House
537,Mapusa_Ps,2022,Theft (Auto Theft),28-03-2022,At Gamawao Parra Bardez Goa,Parra,5,"(15.5920, 73.7932)",Low,House
538,Mapusa_Ps,2022,Theft (Auto Theft),03-06-2022,Cuchelim Mapusa Bardez Goa,Cuchelim,2,"(15.5950, 73.8157)",Medium,House
539,Mapusa_Ps,2022,Theft (Auto Theft),06-03-2022,At Nr Jama Paradise Apartment Abbaiswado Canca Bardez Goa,"Verla,Canca",4,"(15.5905, 73.8080)",Medium,Other (Residential Area)
540,Mapusa_Ps,2022,Theft (Auto Theft),26-08-2022,"At In Front of Derryl Apartment, Cuchelim Mapusa Bardez Goa",Cuchelim,3,"(15.5950, 73.8157)",Medium,Other (Apartment)
541,Mapusa_Ps,2022,Theft (Auto Theft),14-07-2022,At Angod Mapusa Bardez Goa,Mapusa (MMC),5,"(15.5935, 73.8215)",Medium,Road
542,Mapusa_Ps,2022,Theft (Auto Theft),28-08-2022,At In Front of Saish Vihar Building Xell Bastora Bardez Goa,Bastora (Xell),3,"(15.5809, 73.7986)",Low,Other (Apartment)
543,Mapusa_Ps,2022,Theft (House Theft),09-01-2022,At Ntex Transportation Service Private Limited H. No. 3/146 Fiddish Height Karaswada Mapusa Bardez Goa,Mapusa (MMC),4,"(15.5982, 73.8239)",Medium,Other (Office/Commercial)
544,Mapusa_Ps,2022,Theft (House Theft),25-02-2022,Guirim Bardez Goa (Guirim),Guirim,5,"(15.5815, 73.8012)",Low,House
545,Mapusa_Ps,2022,Theft (House Theft),31-03-2022,At Gawsawado Mapusa Bardez Goa,Mapusa (MMC),3,"(15.5905, 73.8208)",Medium,House
546,Mapusa_Ps,2022,Theft (House Theft),16-03-2022,"At Opposite Siddhi Super Market Flat No 101, 1st Floor Karaswada Mapusa Bardez Goa",Mapusa (MMC),1,"(15.5982, 73.8239)",Medium,Other (Apartment)
547,Mapusa_Ps,2022,Theft (House Theft),03-12-2021,"At H. No. 702, Britto Wado Parra Bardez Goa",Parra,4,"(15.5925, 73.7921)",Low,House
548,Mapusa_Ps,2022,Theft (House Theft),20-03-2022,Parra Bardez Goa,Parra,4,"(15.5912, 73.7910)",Low,House
549,Mapusa_Ps,2022,Theft (House Theft),03-06-2022,At SBI ATM Counter Mapusa Bardez Goa,Mapusa (MMC),4,"(15.5902, 73.8205)",High,Other (ATM)
550,Mapusa_Ps,2022,Theft (House Theft),23-04-2022,At ATM Counter Mapusa Bardez Goa,Mapusa (MMC),4,"(15.5902, 73.8205)",High,Other (ATM)
551,Mapusa_Ps,2022,Theft (House Theft),23-04-2022,At Flat No A-SF-4 Chandranath Apartment Mapusa Bardez Goa,Mapusa (MMC),3,"(15.5920, 73.8221)",Medium,Other (Apartment)
552,Mapusa_Ps,2022,Theft (House Theft),23-08-2022,Dhuler Mapusa Bardez Goa,Mapusa (MMC),3,"(15.6004, 73.8296)",Medium,Road
553,Mapusa_Ps,2022,Theft (House Theft),27-08-2022,Cuchelim Mapusa Bardez Goa,Cuchelim,5,"(15.5950, 73.8157)",Medium,House
554,Mapusa_Ps,2022,Theft (House Theft),15-09-2022,"At H. No. 2/197 Tar Poly Clinic, Dhuler Mapusa Bardez Goa",Mapusa (MMC),4,"(15.6004, 73.8296)",Medium,Other (Clinic)
555,Mapusa_Ps,2022,Theft (House Theft),13-11-2022,At Inside the Premises of Construction Site at Arradi Parra Bardez Goa,Parra (Arradi),4,"(15.5912, 73.7910)",Low,Other (Construction Site)
556,Mapusa_Ps,2022,Theft (House Theft),28-02-2022,"At Flat No 402 4th Floor Verla, Canca, Canca Vista Sainagar Verla, Canca, Bardez Goa",Canca Verla,4,"(15.5901, 73.8089)",Medium,Other (Apartment)
557,Mapusa_Ps,2022,Theft (HBT Day),21-04-2022,"At H. No. 39, Saw Mill Khorlim Mapusa Bardez Goa",Mapusa (MMC),5,"(15.5908, 73.8231)",Medium,Other (Industrial)
558,Mapusa_Ps,2022,Theft (HBT Day),19-05-2022,"At H. No. AD/B/3, Nr. Pimple Tree Karaswada Mapusa Bardez Goa",Mapusa (MMC),3,"(15.5982, 73.8239)",Medium,House
559,Mapusa_Ps,2022,Theft (HBT Day),23-12-2022,"At H. No. 57/1, Jodar Waddo Nachinola Bardez Goa",Nachinola,1,"(15.6123, 73.8495)",Low,House
560,Mapusa_Ps,2022,Theft (HBT Day),05-05-2022,At Premises of Rizim Plaza Building Morod Mapusa Bardez Goa,Mapusa (MMC),5,"(15.5937, 73.8235)",Medium,Other (Commercial Complex)
561,Mapusa_Ps,2022,Theft (HBT Night),29-04-2022,At R/O H. No. 69 Pirazona Moira Bardez Goa,Moira,5,"(15.5972, 73.8064)",Low,House
562,Mapusa_Ps,2022,Theft (HBT Night),17-08-2022,At H. No. 307 Boquachi Aradi Parra Bardez Goa,Parra (Aradi),1,"(15.5912, 73.7910)",Low,House
563,Mapusa_Ps,2022,Theft (HBT Night),01-10-2022,"At H. No. 4/95/F, Nr. Sai Girls Sports Hostel, Acoi Peddem Mapusa Bardez Goa",Mapusa (MMC),5,"(15.6001, 73.8303)",Medium,House
564,Mapusa_Ps,2022,Theft (HBT Night),27-10-2022,"At H. No. 171, Plot No. B-19 Ganeshpuri Housing Board Mapusa Bardez Goa",Mapusa (MMC),1,"(15.5992, 73.8291)",Medium,House
565,Mapusa_Ps,2022,Theft (HBT Night),25-01-2022,"At Parking Lot, Near Bodgeshwar Temple, Bodgini, Mapusa, Bardez, Goa",Mapusa (MMC),3,"(15.5928, 73.8235)",High,Other (Parking Lot)
566,Mapusa_Ps,2022,Drug Related (NDPS),03-03-2022,At Nr. New Helipad Bodgini Mapusa Bardez Goa,Mapusa (MMC),1,"(15.5930, 73.8254)",Medium,Other (Helipad)
567,Mapusa_Ps,2022,Drug Related (NDPS),03-03-2022,At KTC Bus Stand Mapusa,Mapusa (MMC),1,"(15.5921, 73.8234)",High,Other (Bus Stand)
568,Mapusa_Ps,2022,Drug Related (NDPS),24-05-2022,At Near Akasa Boquechi Arradi Parra Bardez Goa,Parra (Arradi),4,"(15.5912, 73.7910)",Low,House
569,Mapusa_Ps,2022,Drug Related (NDPS),02-07-2022,Nr. Youth Hostel Peddem Mapusa Bardez Goa,Mapusa (MMC),1,"(15.6003, 73.8311)",Medium,Other (Hostel)
570,Mapusa_Ps,2022,Drug Related (NDPS),16-09-2022,At New Bus Terminus Mapusa Bardez Goa,Mapusa (MMC),3,"(15.5915, 73.8223)",High,Other (Bus Stand)
571,Mapusa_Ps,2022,Drug Related (NDPS),01-10-2022,"At Indiranagar, Karaswada Mapusa Bardez Goa",Mapusa (MMC),1,"(15.5980, 73.8238)",Medium,House
572,Mapusa_Ps,2022,Drug Related (NDPS),13-12-2022,At Karaswada Mapusa Bardez,Mapusa (MMC),2,"(15.5982, 73.8239)",Medium,House
573,Mapusa_Ps,2022,Assault (Hurt) ,14-01-2022,"At Khalapwado, Verla, Canca, Bardez Goa",Verla (Canca),2,"(15.5905, 73.8080)",Medium,House
574,Mapusa_Ps,2022,Assault (Hurt) ,01-08-2022,At Nr BDO Office Mapusa Bardez Goa,Mapusa (MMC),1,"(15.5918, 73.8229)",Medium,Other (Office)
575,Mapusa_Ps,2022,Assault (Hurt) ,18-01-2022,At R/O Tropawado Sodiem Siolim Mapusa Bardez Goa,Siolim,3,"(15.6094, 73.7752)",Low,House
576,Mapusa_Ps,2022,Assault (Hurt) ,19-01-2022,"At Papa Fast Food, Near Alankar Theater Mapusa Bardez Goa",Mapusa (MMC),3,"(15.5923, 73.8225)",High,Other (Restaurant)
577,Mapusa_Ps,2022,Assault (Hurt) ,16-01-2022,At Near Skylaik Apartment Althino Mapusa Bardez Goa,Mapusa (MMC),3,"(15.5945, 73.8240)",Medium,Other (Apartment)
578,Mapusa_Ps,2022,Assault (Hurt) ,30-01-2022,At Near Ghateshwar Temple Khorlim Mapusa Bardez Goa,Mapusa (MMC),5,"(15.5910, 73.8228)",Medium,Other (Temple)
579,Mapusa_Ps,2022,Assault (Hurt) ,23-02-2022,"At Near Chapel, Cuchelim Mapusa Bardez Goa",Cuchelim,4,"(15.5990, 73.8185)",Medium,Other (Religious Place)
580,Mapusa_Ps,2022,Assault (Hurt) ,28-02-2022,"At IDC Karaswada, Mapusa Bardez Goa",Mapusa (MMC),4,"(15.5905, 73.8120)",Medium,Other (Industrial Estate)
581,Mapusa_Ps,2022,Assault (Hurt) ,28-02-2022,"At Infront of Karim Garage, Ghateswarnagar Mapusa Bardez Goa",Mapusa (MMC),4,"(15.5912, 73.8108)",Medium,Other (Commercial Area)
582,Mapusa_Ps,2022,Assault (Hurt) ,08-03-2022,At Opposite Bata Showroom Mapusa Bardez Goa,Mapusa (MMC),2,"(15.5908, 73.8112)",High,Other (Market/Shop)
583,Mapusa_Ps,2023,Theft (Auto Theft),06-01-2023,At Nr. TVS Mars Showroom Dhuler Mapusa Bardez Goa,Mapusa (MMC),1,"(15.5895, 73.8125)",Medium,Other (Commercial Area)
584,Mapusa_Ps,2023,Theft (Auto Theft),05-01-2023,"At Near Chapel, Cuchelim Mapusa Bardez Goa",Cuchelim,1,"(15.5950, 73.8157)",Medium,Other (Chapel)
585,Mapusa_Ps,2023,Theft (Auto Theft),04-01-2023,"IDC Karaswada, Mapusa Bardez Goa",Mapusa (MMC),1,"(15.5982, 73.8239)",Medium,Other (Industrial Area)
586,Mapusa_Ps,2023,Theft (Auto Theft),28-02-2023,"At Infront of Karim Garage, Ghateswarnagar Mapusa Bardez Goa",Mapusa (MMC),4,"(15.5920, 73.8215)",Medium,Other (Garage)
587,Mapusa_Ps,2023,Theft (Auto Theft),14-04-2023,At Opposite Bata Showroom Mapusa Bardez Goa,Mapusa (MMC),2,"(15.5905, 73.8208)",High,Other (Shop)
588,Mapusa_Ps,2023,Theft (Auto Theft),01-04-2023,At Nr. TVS Mars Showroom Dhuler Mapusa Bardez Goa,Mapusa (MMC),1,"(15.6004, 73.8296)",Medium,Other (Showroom)
589,Mapusa_Ps,2023,Theft (Auto Theft),29-06-2023,"At Kulan, Teen Maad, Sodiem, Siolim, Bardez Goa",Siolim,5,"(15.6101, 73.7745)",Low,House
590,Mapusa_Ps,2023,Theft (Auto Theft),10-06-2023,At Opposite Bardez Goa Bazar Shop Mapusa Bardez Goa,Mapusa (MMC),2,"(15.5917, 73.8219)",High,Other (Market)
591,Mapusa_Ps,2023,Theft (Auto Theft),01-08-2023,At Xelpem Dhuler Mapusa Bardez,Mapusa (MMC),1,"(15.6007, 73.8301)",Medium,House
592,Mapusa_Ps,2023,Theft (Auto Theft),07-09-2023,"At Nr. Bharaman Vatar Temple, Talwado, Mapusa, Bardez Goa",Mapusa (MMC),1,"(15.5929, 73.8221)",Medium,Other (Temple)
593,Mapusa_Ps,2023,Theft (House Theft),01-11-2023,"At ATM E Lobby, State Bank Of India Mapusa Bardez Goa",Mapusa (MMC),1,"(15.5902, 73.8205)",High,Other (ATM)
594,Mapusa_Ps,2023,Theft (House Theft),08-02-2023,"At Residential Quarters, JMFC Court Premises, Mapusa Bardez Goa",Mapusa (MMC),2,"(15.5917, 73.8102)",Medium,Other (Court Premises)
595,Mapusa_Ps,2023,Theft (House Theft),04-04-2023,"At Shop Styled as “Shree Siddhivinayak Jewellers” Stall No.137, Municipal Market, Mapusa Bardez",Mapusa (MMC),1,"(15.5921, 73.8110)",High,Other (Market/Shop)
596,Mapusa_Ps,2023,Theft (House Theft),27-04-2023,"At Shree Vithal Rakumai Temple, Vithalwadi, Ansabhat, Mapusa Bardez Goa",Mapusa (MMC),4,"(15.5935, 73.8098)",Medium,Other (Religious Place)
597,Mapusa_Ps,2023,Theft (House Theft),09-10-2023,At Premises Of Urban Health Centre Mapusa Bardez Goa,Mapusa (MMC),2,"(15.5942, 73.8105)",Medium,Other (Healthcare Facility)
598,Mapusa_Ps,2023,Theft (House Theft),22-04-2023,"At H. No. 210, Bagawado, Corjuvem, Aldona, Bardez, Goa",Aldona,4,"(15.6090, 73.8442)",Low,House
599,Mapusa_Ps,2023,Theft (House Theft),19-12-2023,"At Nagvekar Jewellers, Municipal Market, Mapusa Bardez Goa",Mapusa (MMC),3,"(15.5919, 73.8108)",High,Other (Market/Shop)
600,Mapusa_Ps,2023,Theft (Chain Snatching),05-01-2023,At Nr. Hotel Navtara Bodgini Mapusa Bardez Goa,Mapusa (MMC),1,"(15.5905, 73.8101)",Medium,Other (Hotel/Restaurant)
601,Mapusa_Ps,2023,Theft (Chain Snatching),19-02-2023,"At Near Thomas Fernandes House Arao, Pomburpha Bardez Goa",Pomburpha,3,"(15.6025, 73.8505)",Low,House
602,Mapusa_Ps,2023,Theft (HBT Day),06-06-2023,"At Flat No. 103, 1st Floor, A-Block Palmar Grand Khalapwado, Canca, Bardez Goa",Canca,1,"(15.6002, 73.8180)",Low,House
603,Mapusa_Ps,2023,Theft (HBT Day),21-07-2023,"At Ganeshpuri, Housing Board, Mapusa, Bardez Goa",Mapusa (MMC),3,"(15.5895, 73.8122)",Medium,Other (Residential Area)
604,Mapusa_Ps,2023,Theft (HBT Day),24-07-2023,"At H. No. 355/A, Shannon’s Lair, Mont-De-Guirim, Guirim, Bardez Goa",Guirim,4,"(15.6052, 73.8107)",Low,House
605,Mapusa_Ps,2023,Theft (HBT Day),14-12-2023,"At H. No. F-3, Vinayak Niwas, Ganeshpuri, Housing Board, Mapusa, Bardez, Goa",Mapusa (MMC),2,"(15.5898, 73.8120)",Medium,Other (Residential Area)
606,Mapusa_Ps,2023,Theft (HBT Night),09-03-2023,"At Office No. 301 to 306, 3rd Floor, and Office No. 205, 2nd Floor of Commerce Centre Building Opposite Old Municipal Building Mapusa Bardez Goa",Mapusa (MMC),2,"(15.5913, 73.8114)",High,Other (Commercial Area)
607,Mapusa_Ps,2023,Theft (HBT Night),08-07-2023,"At Jolly Hotel, Behind Chapel, Dhuler Mapusa Bardez Goa",Mapusa (MMC),2,"(15.5902, 73.8105)",Medium,Other (Hotel/Restaurant)
608,Mapusa_Ps,2023,Theft (HBT Night),21-07-2023,"At Temple of Lord Shankar and Nagnath, Lingabhat, Parra, Bardez Goa",Parra,3,"(15.6030, 73.8195)",Low,Other (Religious Place)
609,Mapusa_Ps,2023,Theft (HBT Night),10-11-2023,"At Flat No. U-G-12, Block-E, Clement Residency, Shelpem, Dhuler, Mapusa, Bardez Goa",Mapusa (MMC),2,"(15.5897, 73.8121)",Medium,Other (Residential Area)
610,Mapusa_Ps,2023,Theft (HBT Night),15-12-2023,"At Shop No.138, 139, 140, 141, 142 Municipal Market, Mapusa Bardez Goa",Mapusa (MMC),3,"(15.5916, 73.8113)",High,Other (Market/Shop)
611,Mapusa_Ps,2023,Assault (Hurt),02-02-2023,At Pirzona Moira Bardez Goa,Moira,1,"(15.6228, 73.8509)",Low,Other (Village Area)
612,Mapusa_Ps,2023,Assault (Hurt),07-05-2023,"At Near Sushegat Bar and Restaurant, Plirmirwado, Khorjuvem, Aldona Bardez Goa",Aldona,1,"(15.6115, 73.8498)",Low,Other (Commercial Area)
613,Mapusa_Ps,2023,Assault (Hurt),21-05-2023,"At Nr. Vrundavan Hospital, Peddem, Mapusa, Bardez Goa",Mapusa (MMC),3,"(15.5948, 73.8109)",Medium,Other (Healthcare Facility)
614,Mapusa_Ps,2023,Assault (Hurt),21-05-2023,At Near Main Entrance of Sub Yard Premises Mapusa Bardez Goa,Mapusa (MMC),3,"(15.5930, 73.8111)",High,Other (Market Area)
615,Mapusa_Ps,2023,Assault (Hurt),02-06-2023,At Near Sai Baba Temple Cuchelim Mapusa Bardez Goa,Cuchelim,1,"(15.5988, 73.8183)",Medium,Other (Religious Place)
616,Mapusa_Ps,2023,Drug Related (NDPS),28-01-2023,At Behind New Bus Stand Mapusa Bardez Goa,Mapusa (MMC),4,"(15.5911, 73.8115)",High,Other (Transport Hub)
617,Mapusa_Ps,2023,Drug Related (NDPS),19-05-2023,"At Parking Lot Nr. St. Jerome Church, Mapusa, Bardez Goa",Mapusa (MMC),3,"(15.5923, 73.8106)",Medium,Other (Public Space)
618,Mapusa_Ps,2023,Drug Related (NDPS),15-10-2023,"At Parking Lot Behind New KTC Bus Stand, Mapusa, Bardez Goa",Mapusa (MMC),3,"(15.5919, 73.8118)",Medium,Other (Transport Hub)
619,Mapusa_Ps,2023,Drug Related (NDPS),30-10-2023,"At Near Plyword Building, Saliswado, Parra, Bardez, Goa",Parra,5,"(15.6035, 73.8180)",Low,Other (Commercial Area)
620,Mapusa_Ps,2024,Theft (Auto Theft),20-12-2023,"Near Natekar Pharmacy, Mapusa Bardez Goa",Mapusa (MMC),3,"(15.5920, 73.8104)",Medium,Other (Commercial Area)
621,Mapusa_Ps,2024,Theft (Auto Theft),12-01-2024,"At Near Bodgeshwar Temple, Bodgini, Mapusa Bardez Goa",Mapusa (MMC),2,"(15.5915, 73.8102)",Medium,Other (Religious Place)
622,Mapusa_Ps,2024,Theft (Auto Theft),24-01-2024,"At Near Alankar Theater, Mapusa, Bardez Goa",Mapusa (MMC),4,"(15.5918, 73.8109)",High,Other (Commercial Area)
623,Mapusa_Ps,2024,Theft (Auto Theft),20-02-2024,"At Near Alankar Theater, Mapusa, Bardez Goa",Mapusa (MMC),3,"(15.5918, 73.8109)",High,Other (Village Area)
624,Mapusa_Ps,2024,Theft (Auto Theft),29-02-2024,Ucassaim Bardez Goa,Ucassaim,5,"(15.6170, 73.8550)",Low,
625,Mapusa_Ps,2024,Theft (Auto Theft),31-12-2023,"At KTC Bus Stand, Mapusa, Bardez Goa",Mapusa (MMC),5,"(15.5915, 73.8117)",High,Other (Transport Hub)
626,Mapusa_Ps,2024,Theft (Auto Theft),14-05-2024,"At H. No.661, Moira Bardez Goa",Moira,2,"(15.6240, 73.8515)",Low,House
627,Mapusa_Ps,2024,Theft (Auto Theft),20-09-2024,"At Near Green Park Hotel, Guirim, Bardez Goa",Guirim,3,"(15.6075, 73.8120)",Medium,Other (Hotel/Restaurant)
628,Mapusa_Ps,2024,Theft (House Theft),02-01-2024,"At Villa No. 2 and Villa No. 6, 17/2, Marsierra, Gaunsawado, Sodiem, Siolim, Bardez, North Goa",Siolim,1,"(15.6180, 73.7795)",Low,House
629,Mapusa_Ps,2024,Theft (House Theft),23-04-2024,"At H. No.1447, Panarim, Aldona Bardez Goa",Aldona,4,"(15.6102, 73.8455)",Low,House
630,Mapusa_Ps,2024,Theft (House Theft),04-07-2024,"At Inside Fruit Shop, Sub Yard Mapusa Bardez Goa",Mapusa (MMC),1,"(15.5928, 73.8112)",High,Other (Market/Shop)
631,Mapusa_Ps,2024,Theft (House Theft),08-03-2024,"At Shop No.94, Municipal Market, Mapusa Bardez Goa",Mapusa (MMC),2,"(15.5919, 73.8110)",High,Other (Market/Shop)
632,Mapusa_Ps,2024,Theft (House Theft),10-09-2024,"At State Bank Of India, Main Branch ATM Counter, Mapusa Bardez Goa",Mapusa (MMC),2,"(15.5925, 73.8113)",High,Other (Bank/ATM)
633,Mapusa_Ps,2024,Theft (House Theft),03-09-2024,"IDC Karaswada, Mapusa Bardez Goa",Mapusa (MMC),1,"(15.5958, 73.8210)",Medium,Other (Industrial Area)
634,Mapusa_Ps,2024,Theft (Chain Snatching),09-01-2024,"At Near Well-Come Bar, Paliem, Ucassaim, Bardez, Goa",Ucassaim,2,"(15.6205, 73.8530)",Low,Other (Restaurant/Bar)
635,Mapusa_Ps,2024,Theft (Chain Snatching),22-09-2024,"At Near Baba Garage Kahalpwado, Verla, Canca, Bardez Goa",Canca Verla,4,"(15.6008, 73.8185)",Low,Other (Commercial Area)
636,Mapusa_Ps,2024,Theft (HBT Day),21-08-2024,"At Premises of “Blue Diamond Bar and Restaurant, H. No. 113/13, Taliwado, Mapusa Bardez Goa",Mapusa (MMC),3,"(15.5912, 73.8108)",Medium,Other (Restaurant/Bar)
637,Mapusa_Ps,2024,Theft (HBT Day),06-10-2024,"At H. No. 481/3-C, Gayatri Niwas Abbaiswaddo, Canca, Bardez Goa",Canca Verla,1,"(15.6015, 73.8192)",Low,House
638,Mapusa_Ps,2024,Theft (HBT Night),29-02-2024,"At Saliswado, Parra Bardez Goa",Parra,5,"(15.6028, 73.8175)",Low,Other (Village Area)
639,Mapusa_Ps,2024,Theft (HBT Night),08-06-2024,"At Dr. Sawkar, Ganeshpuri, Mapusa Bardez Goa",Mapusa (MMC),2,"(15.5900, 73.8122)",Medium,Other (Clinic/Healthcare)
640,Mapusa_Ps,2024,Theft (HBT Night),23-06-2024,"At Store Room, Grand Morod, Mapusa, Bardez Goa",Mapusa (MMC),4,"(15.5933, 73.8105)",Low,Other (Storage Facility)
641,Mapusa_Ps,2024,Theft (HBT Night),22-08-2024,"At Dempo Mansion, Mapusa Bardez Goa",Mapusa (MMC),4,"(15.5918, 73.8114)",Medium,House
642,Mapusa_Ps,2024,Theft (HBT Night),17-09-2024,"At Store Room Located at Basement Floor of Vision Hospital, Dhuler, Mapusa, Goa",Mapusa (MMC),3,"(15.5945, 73.8106)",Medium,Other (Healthcare Facility)
643,Mapusa_Ps,2024,Theft (HBT Night),19-09-2024,"At Villa No. 2, La-Masseria Gaunsawado, Sodiem, Siolim, Bardez Goa",Siolim,3,"(15.6182, 73.7800)",Low,House
